steps,timestamp,x_pos,y_pos,z_pos,x_vel,y_vel
0,221.254889,-0.04268838,-2.7893913,-0.06444799,-0.0011926786,-8.5461856e-05
1,221.30703699999998,-0.042778287,-2.78952,-0.064481735,-0.0014436315,-0.00021631287
2,221.31484999999998,-0.04279408,-2.7895436,-0.064486295,-0.0014675948,-0.00033109437
3,221.327564,-0.04281496,-2.7895687,-0.06448579,-0.001458697,-0.00038850654
4,221.335533,-0.042829026,-2.789592,-0.06448893,-0.00149433,-0.00051009
5,221.34304699999998,-0.042843346,-2.7896156,-0.064491495,-0.0014725609,-0.0005664525
6,221.35499299999998,-0.04286234,-2.7896407,-0.06448734,-0.0013050071,-0.00043830607
7,221.367549,-0.042881016,-2.789664,-0.06448234,-0.0015789767,-0.00052369724
8,221.375101,-0.042893663,-2.7896836,-0.064482644,-0.0013329216,-0.0001888948
9,221.3869,-0.042912226,-2.7897072,-0.06447656,-0.0014566897,-0.00084478915
10,221.39549699999998,-0.042922907,-2.7897265,-0.06447534,-0.0013076824,-0.0003755306
11,221.407062,-0.042941354,-2.789748,-0.06446578,-0.001759468,-0.0005870136
12,221.41551099999998,-0.042954016,-2.789766,-0.064464204,-0.0015993406,-0.00037693707
13,221.42690299999998,-0.042975534,-2.7897873,-0.06445394,-0.0020386463,-0.0008609911
14,221.43559199999999,-0.04298594,-2.7898037,-0.06445092,-0.000946013,0.0002695738
15,221.443061,-0.0429925,-2.789816,-0.06444866,-0.0017512192,-0.00059650297
16,221.45488,-0.043014508,-2.7898374,-0.06444118,-0.0012600434,-1.3887662e-05
17,221.46754199999998,-0.043026555,-2.7898479,-0.064433016,-0.002300926,-0.0015239511
18,221.47511699999998,-0.043038696,-2.789862,-0.06442618,-0.0014022274,-0.00015396366
19,221.487551,-0.04304931,-2.7898705,-0.0644191,-0.0026121067,-0.0017183176
20,221.49507799999998,-0.04306428,-2.7898822,-0.06441468,-0.0022870717,-0.00027005965
21,221.507771,-0.043081127,-2.7898877,-0.06440843,-0.0021905017,-0.00028339264
22,221.51495799999998,-0.04309165,-2.789887,-0.064396776,-0.0023140456,-0.00025097668
23,221.52754099999999,-0.04311154,-2.7898972,-0.064389266,-0.002959147,-0.0008848206
24,221.534993,-0.043126244,-2.7898946,-0.06437959,-0.00268058,0.0007091585
25,221.54757099999998,-0.043148167,-2.7898993,-0.06437004,-0.0023251227,-0.0004885003
26,221.554871,-0.043155916,-2.7898953,-0.06436298,-0.0022137244,0.0007689347
27,221.56755199999998,-0.04318209,-2.7899,-0.064346395,-0.0033995772,-1.2227667e-05
28,221.575032,-0.043198716,-2.7898977,-0.06433479,-0.0027366867,0.0008570598
29,221.58755,-0.043216363,-2.789896,-0.0643072,-0.0019066494,0.00064048986
