steps,timestamp,x_pos,y_pos,z_pos,x_vel,y_vel
0,238.367958,-1.1248913,-0.027489007,-0.0576569,0.0048413565,0.009291437
1,238.38756999999998,-1.1248796,-0.027489739,-0.05764672,0.0047147516,0.009420755
2,238.397373,-1.1248727,-0.02748513,-0.05763979,0.0046483604,0.0092369355
3,238.408334,-1.1248674,-0.027485108,-0.057634365,0.0047226776,0.009370568
4,238.417396,-1.1248615,-0.027483594,-0.05762734,0.004655338,0.009126269
5,238.42747599999998,-1.1248524,-0.027476875,-0.057619847,0.0048167813,0.009377717
6,238.438053,-1.124847,-0.027477955,-0.057613023,0.0047457432,0.009166779
7,238.447669,-1.1248375,-0.02747447,-0.057605796,0.004900559,0.009025302
8,238.45746499999998,-1.1248276,-0.027469896,-0.057596758,0.005049823,0.0090218475
9,238.46810599999998,-1.1248183,-0.02747353,-0.05758949,0.004960486,0.008726729
10,238.477541,-1.1248083,-0.027474761,-0.05758172,0.005164151,0.0087293545
11,238.48812099999998,-1.1248012,-0.027481528,-0.057573527,0.0051635797,0.009112175
12,238.497501,-1.1247914,-0.027483707,-0.057563517,0.0049545118,0.008595086
13,238.508535,-1.1247861,-0.027492292,-0.05755446,0.0051505645,0.008936928
14,238.517544,-1.1247791,-0.02749804,-0.057545777,0.004900052,0.008599065
15,238.528176,-1.1247737,-0.027507134,-0.05753678,0.0055036102,0.009200338
16,238.53756199999998,-1.1247677,-0.027510105,-0.057527024,0.0043787165,0.0091253985
17,238.54821099999998,-1.1247681,-0.027515998,-0.057519436,0.004718595,0.009429031
18,238.557604,-1.1247671,-0.027522111,-0.05751079,0.004259727,0.008425848
19,238.568367,-1.1247679,-0.027534682,-0.05749943,0.0053064763,0.00979603
20,238.577619,-1.1247673,-0.02754124,-0.057487834,0.0034596843,0.0083852215
21,238.58835399999998,-1.1247748,-0.027549477,-0.05747999,0.0047211773,0.010318108
22,238.597634,-1.1247776,-0.0275544,-0.057468813,0.0037445982,0.0081645455
23,238.60861699999998,-1.1247772,-0.027565405,-0.05745933,0.006005065,0.009779064
24,238.617659,-1.1247793,-0.027577093,-0.057449825,0.0032843214,0.007955871
25,238.62831699999998,-1.1247876,-0.027591346,-0.057441484,0.004969591,0.009794887
26,238.637768,-1.1247923,-0.02760323,-0.057425033,0.003754591,0.007882827
27,238.64846899999998,-1.1247921,-0.02761923,-0.057414845,0.005445974,0.009514666
28,238.657784,-1.1247936,-0.027626872,-0.05740278,0.004144316,0.008855968
29,238.66788599999998,-1.1247892,-0.02763801,-0.05738642,0.005287552,0.008289924
30,238.67844599999998,-1.1247948,-0.027648253,-0.057372253,0.003913586,0.009527466
31,238.68787999999998,-1.1247934,-0.027655775,-0.05736641,0.0054331454,0.00781348
32,238.698445,-1.1247978,-0.027685788,-0.057344835,0.0041832477,0.0071854317
33,238.708091,-1.1248009,-0.02769933,-0.05732418,0.0047508306,0.009520605
34,238.71854199999999,-1.1248068,-0.027712997,-0.057301406,0.004141661,0.0076987883
35,238.72795499999998,-1.1248081,-0.027727304,-0.057273913,0.0045494065,0.008872669
36,238.73851299999998,-1.1248125,-0.027744032,-0.05725178,0.004173544,0.008071311
37,238.74818199999999,-1.1248161,-0.027757142,-0.057220433,0.0050102724,0.008879059
38,238.758577,-1.1248162,-0.027774658,-0.05718951,0.004156284,0.0077430243
39,238.76788399999998,-1.1248249,-0.027793013,-0.0571517,0.003885319,0.008783203
40,238.778585,-1.1248224,-0.02780815,-0.057105497,0.005206929,0.008555653
41,238.787906,-1.1248311,-0.02782655,-0.05705062,0.0039320393,0.008574964
42,238.798635,-1.1248307,-0.027839689,-0.056995463,0.004883427,0.008759279
43,238.80810599999998,-1.1248461,-0.027857987,-0.0569245,0.003587211,0.0077250074
44,238.818601,-1.1248477,-0.027875531,-0.056851998,0.0052909367,0.008191274
45,238.82797499999998,-1.1248573,-0.027890183,-0.05676442,0.004503682,0.008678596
46,238.83897199999998,-1.1248556,-0.027906463,-0.056674615,0.005008752,0.0074179326
47,238.84801399999998,-1.1248666,-0.027921597,-0.056575604,0.004333135,0.009078084
48,238.858666,-1.1248691,-0.027938433,-0.056475684,0.004117963,0.007167597
49,238.868013,-1.1248759,-0.027953694,-0.05636345,0.005468963,0.009163967
50,238.87884599999998,-1.1248759,-0.02797482,-0.056242853,0.0037181354,0.007327918
51,238.88804299999998,-1.1248788,-0.02798474,-0.056110796,0.0058879587,0.0099561345
52,238.898718,-1.1248845,-0.028001178,-0.055968948,0.002668208,0.007462939
53,238.908246,-1.1248865,-0.028012501,-0.05581421,0.006160341,0.009419749
54,238.91868599999998,-1.124894,-0.028029773,-0.055638343,0.0029471964,0.0077167884
55,238.92807499999998,-1.1248927,-0.028039725,-0.055447675,0.0059305388,0.0093657095
56,238.93872399999998,-1.1249062,-0.028055241,-0.05523556,0.0033918147,0.007605943
